Source,Reliability,Bias
mediabuzz,35.44,9.67
19th-news,44.5,-10.31
60-minutes,34.26,-8.17
night-with-shannon-bream,39.06,17.08
abc-news,46.73,-4.5
abc-this-week-with-george-stephanopoulos,43.53,-7.38
abc-world-news-tonight-with-david-muir,49.67,-2.0
abe-lincoln-s-top-hat,30.25,-11.75
advocate-magazine,37.78,-15.03
agence-france-presse,48.03,-1.95
air-force-times,46.01,1.32
al-jazeera,45.6,-4.48
al-com,46.6,-1.56
alex-witt-reports,37.22,-13.78
all-in-with-chris-hayes,28.53,-17.27
alternet,24.36,-18.66
amanpour,42.78,-7.15
america-dissected,34.25,-13.73
america-first-with-sebastian-gorka-podcast,16.53,25.08
america-right-now,12.12,23.72
american-greatness,19.87,23.03
american-independent,38.49,-14.71
american-independent,38.49,-14.71
american-thinker,13.37,25.11
american-voices-with-alicia-menendez,33.44,-16.0
anderson-cooper-360,39.22,-13.27
andrea-mitchell-reports,40.33,-12.08
aol-com,44.36,-10.54
ap,48.62,-1.82
apple-news-today,44.5,-6.03
arizona-daily-star,45.91,-2.07
arkansas-democrat-gazette,46.29,0.3
armchair-expert-with-dax-shepard,37.42,-9.03
army-times,47.8,0.31
ars-technica,46.34,-2.13
aspen-times,46.32,-0.32
at-this-hour-with-kate-bolduan,35.44,-11.44
atlanta-black-star,45.68,-4.95
atlanta-journal-constitution,45.84,-3.24
axios,44.25,-4.3
axios-re-cap,42.67,-7.06
az-central,42.63,-7.43
bad-faith,37.11,-22.89
baltimore-sun,45.99,-5.25
banfield,37.81,-1.85
bannon-s-war-room,10.27,27.97
barron-s,45.98,-0.27
bbc,46.11,-2.42
bbc-world-news-america,44.56,-3.78
bearing-arms,26.98,19.28
before-it-s-news,5.19,30.15
benzinga,42.79,0.07
bet,41.34,-5.83
bgr,40.86,-3.99
big-league-politics,18.3,25.42
bill-o-reilly,21.72,25.55
billboard,40.73,-2.23
bipartisan-report,21.6,-21.58
bitch-media,33.28,-18.06
bizpac-review,24.25,19.41
